S.No,Date,Number of Books Sold
240,27-08-2020,100
241,28-08-2020,95
242,29-08-2020,96
243,30-08-2020,100
244,31-08-2020,90
245,01-09-2020,95
246,02-09-2020,98
247,03-09-2020,92
248,04-09-2020,93
249,05-09-2020,94
250,06-09-2020,100
251,07-09-2020,99
252,08-09-2020,95
253,09-09-2020,90
254,10-09-2020,96
255,11-09-2020,96
256,12-09-2020,94
257,13-09-2020,96
258,14-09-2020,96
259,15-09-2020,93
260,16-09-2020,97
261,17-09-2020,98
262,18-09-2020,93
263,19-09-2020,93
264,20-09-2020,94
265,21-09-2020,98
266,22-09-2020,99
267,23-09-2020,90
268,24-09-2020,98
269,25-09-2020,97
270,26-09-2020,96
271,27-09-2020,92
272,28-09-2020,99
273,29-09-2020,99
274,30-09-2020,95
275,01-10-2020,90
276,02-10-2020,95
277,03-10-2020,94
278,04-10-2020,98
279,05-10-2020,96
280,06-10-2020,91
281,07-10-2020,95
282,08-10-2020,90
283,09-10-2020,95
284,10-10-2020,95
285,11-10-2020,95
286,12-10-2020,90
287,13-10-2020,99
288,14-10-2020,95
289,15-10-2020,93
290,16-10-2020,94
291,17-10-2020,98
292,18-10-2020,100
293,19-10-2020,91
294,20-10-2020,96
295,21-10-2020,95
296,22-10-2020,92
297,23-10-2020,90
298,24-10-2020,92
299,25-10-2020,94
300,26-10-2020,99
301,27-10-2020,99
302,28-10-2020,96
303,29-10-2020,90
304,30-10-2020,90
305,31-10-2020,93
306,01-11-2020,97
307,02-11-2020,93
308,03-11-2020,93
309,04-11-2020,91
310,05-11-2020,96
311,06-11-2020,91
312,07-11-2020,92
313,08-11-2020,100
314,09-11-2020,90
315,10-11-2020,93
316,11-11-2020,93
317,12-11-2020,99
318,13-11-2020,100
319,14-11-2020,90
320,15-11-2020,93
321,16-11-2020,96
322,17-11-2020,96
323,18-11-2020,96
324,19-11-2020,91
325,20-11-2020,99
326,21-11-2020,92
327,22-11-2020,93
328,23-11-2020,93
329,24-11-2020,98
330,25-11-2020,92
331,26-11-2020,99
332,27-11-2020,95
333,28-11-2020,94
334,29-11-2020,98
335,30-11-2020,93
336,01-12-2020,90
337,02-12-2020,95
338,03-12-2020,97
339,04-12-2020,91
340,05-12-2020,91
341,06-12-2020,90
342,07-12-2020,91
343,08-12-2020,100
344,09-12-2020,98
345,10-12-2020,91
346,11-12-2020,99
347,12-12-2020,96
348,13-12-2020,91
349,14-12-2020,90
350,15-12-2020,94
351,16-12-2020,98
352,17-12-2020,96
353,18-12-2020,97
354,19-12-2020,94
355,20-12-2020,90
356,21-12-2020,93
357,22-12-2020,95
358,23-12-2020,91
359,24-12-2020,98
360,25-12-2020,99
361,26-12-2020,100
362,27-12-2020,91
363,28-12-2020,90
364,29-12-2020,92
365,30-12-2020,92
366,31-12-2020,99
